faz_id,population_2000,population_2010,population_2020,population_2030,population_2040
1810.0,3242.0,4005.0,4295.0,7014.0,11800.0
900.0,8525.0,9262.0,10278.0,11425.0,12167.0
806.0,16073.0,28697.0,33152.0,38357.0,43836.0
1506.0,21116.0,21402.0,23389.0,24548.0,25120.0
1410.0,13142.0,13060.0,14052.0,14882.0,16349.0
1505.0,15860.0,18085.0,19499.0,20591.0,21142.0
1330.0,20300.0,20416.0,22202.0,23508.0,23673.0
1000.0,9820.0,10048.0,10826.0,11444.0,11571.0
1320.0,17435.0,17149.0,18312.0,18272.0,18013.0
1420.0,11873.0,12961.0,13728.0,14769.0,18674.0
1130.0,4138.0,4692.0,5998.0,7311.0,7766.0
1116.0,13452.0,14162.0,17856.0,19554.0,20593.0
1310.0,24302.0,24971.0,27408.0,28079.0,27781.0
805.0,16625.0,18904.0,22240.0,25777.0,26667.0
1115.0,9049.0,10912.0,13447.0,17230.0,18328.0
205.0,10671.0,10887.0,11669.0,11818.0,11837.0
136.0,11050.0,10452.0,11552.0,11818.0,11814.0
1120.0,27122.0,29512.0,34556.0,39566.0,43682.0
705.0,13798.0,17472.0,19113.0,22758.0,33827.0
120.0,10846.0,10890.0,11855.0,12597.0,13237.0
325.0,18262.0,21314.0,22593.0,25007.0,25926.0
135.0,14433.0,14883.0,16932.0,17909.0,17870.0
706.0,11562.0,11947.0,12830.0,14521.0,17128.0
206.0,12074.0,12323.0,13549.0,13765.0,13718.0
2910.0,1650.0,3424.0,3592.0,4190.0,5288.0
315.0,12845.0,12898.0,14530.0,15186.0,15512.0
2935.0,19178.0,10529.0,10226.0,10539.0,10664.0
605.0,18553.0,19115.0,22320.0,26451.0,28862.0
606.0,13532.0,18558.0,22103.0,28717.0,33861.0
506.0,14863.0,22195.0,25531.0,30282.0,36803.0
110.0,4729.0,4563.0,5032.0,5179.0,5494.0
505.0,27997.0,43715.0,47929.0,58131.0,67407.0
2936.0,2535.0,4513.0,8143.0,9054.0,9736.0
405.0,16829.0,19736.0,22644.0,26836.0,30439.0
2926.0,22175.0,23380.0,24654.0,26394.0,29571.0
2925.0,13457.0,15830.0,16510.0,18403.0,24135.0
2927.0,4294.0,5374.0,6066.0,8025.0,13960.0
