faz_id,households_2000,households_2010,households_2020,households_2030,households_2040
4605.0,7302.0,9286.0,10290.0,11055.0,11843.0
9002.0,8536.0,9401.0,13938.0,16386.0,18860.0
4226.0,5702.0,6109.0,7117.0,7726.0,8160.0
4505.0,5248.0,5355.0,5459.0,5578.0,5677.0
4225.0,4205.0,6325.0,6817.0,7210.0,8171.0
5716.0,9027.0,10027.0,11023.0,11235.0,11980.0
5916.0,11560.0,13156.0,14357.0,14794.0,15768.0
4300.0,4439.0,4423.0,5022.0,5412.0,5873.0
5815.0,1848.0,2016.0,2163.0,2239.0,2409.0
9004.0,5132.0,6306.0,6868.0,7932.0,9831.0
5715.0,7488.0,7663.0,8160.0,8226.0,8471.0
3330.0,4187.0,4452.0,4731.0,5102.0,5861.0
6506.0,4183.0,4264.0,4720.0,5223.0,5747.0
5915.0,6769.0,7124.0,7921.0,8202.0,8485.0
3905.0,3156.0,3420.0,4313.0,4700.0,5079.0
4130.0,5779.0,7511.0,8248.0,8449.0,8681.0
6930.0,4194.0,4510.0,4551.0,4535.0,4580.0
3825.0,6407.0,6657.0,8091.0,8679.0,9462.0
4120.0,7324.0,7838.0,8677.0,9117.0,9812.0
3816.0,8307.0,8330.0,10038.0,10764.0,11708.0
4210.0,6194.0,8486.0,9574.0,10681.0,11735.0
9016.0,3470.0,3944.0,4467.0,5290.0,6448.0
4005.0,4395.0,4796.0,6034.0,6587.0,7728.0
4230.0,3336.0,3504.0,4021.0,4461.0,4865.0
3815.0,7660.0,7867.0,8394.0,8524.0,8798.0
3705.0,11770.0,11713.0,13029.0,13657.0,15918.0
3900.0,2404.0,2404.0,2884.0,3255.0,3639.0
4110.0,6984.0,7603.0,8381.0,9219.0,11615.0
3416.0,7781.0,8759.0,9396.0,9773.0,11017.0
3413.0,2270.0,2740.0,3311.0,3910.0,4395.0
3706.0,6096.0,6123.0,7168.0,7439.0,7621.0
3600.0,7040.0,8064.0,8881.0,9446.0,12159.0
3415.0,7309.0,8504.0,10481.0,11701.0,13348.0
3320.0,8057.0,9481.0,11309.0,12349.0,13804.0
3505.0,13639.0,14702.0,17027.0,18662.0,20285.0
3414.0,8012.0,8535.0,10103.0,10685.0,11283.0
6900.0,2654.0,2910.0,3092.0,3479.0,4113.0
2940.0,4555.0,5457.0,6565.0,8270.0,10260.0
2216.0,5554.0,6415.0,7229.0,7998.0,8798.0
3046.0,9076.0,9315.0,10138.0,11504.0,13862.0
2225.0,4553.0,5421.0,6399.0,7552.0,9592.0
3426.0,4835.0,5712.0,7243.0,8370.0,9355.0
3427.0,5815.0,7601.0,9040.0,10220.0,11625.0
3045.0,9921.0,10117.0,11338.0,11996.0,12743.0
3310.0,4678.0,6488.0,7656.0,9156.0,12923.0
3030.0,10084.0,11985.0,14864.0,17759.0,20278.0
3130.0,6490.0,6716.0,7373.0,7705.0,8489.0
3010.0,14748.0,14684.0,16358.0,17634.0,19197.0
3020.0,9016.0,9524.0,10396.0,10872.0,13238.0
3425.0,4843.0,6210.0,7102.0,8196.0,9293.0
2100.0,6428.0,6615.0,7469.0,7849.0,8248.0
1606.0,5153.0,5161.0,5525.0,5682.0,5914.0
2215.0,5866.0,6555.0,7254.0,7780.0,8249.0
1720.0,10755.0,10696.0,11614.0,12232.0,13460.0
3120.0,8753.0,9063.0,9861.0,10119.0,12776.0
1900.0,138.0,457.0,530.0,530.0,526.0
3110.0,2659.0,3030.0,3507.0,3663.0,3734.0
3200.0,6971.0,7241.0,7915.0,8687.0,9889.0
1605.0,7437.0,7518.0,7883.0,7926.0,8251.0
2000.0,2723.0,4109.0,5542.0,6285.0,7027.0
1820.0,3754.0,4069.0,4340.0,5254.0,6902.0
1200.0,5483.0,6033.0,6832.0,7498.0,7947.0
1710.0,7882.0,8472.0,9267.0,9800.0,12104.0
1810.0,1676.0,2062.0,2174.0,3841.0,7126.0
900.0,3563.0,3921.0,4348.0,4759.0,5193.0
806.0,5452.0,10132.0,11914.0,13533.0,16112.0
1506.0,8467.0,8701.0,9494.0,9898.0,10293.0
1410.0,5369.0,5426.0,5950.0,6367.0,7320.0
1505.0,6702.0,7413.0,8004.0,8368.0,8740.0
1330.0,6867.0,7204.0,8084.0,8625.0,8893.0
1000.0,3747.0,3901.0,4211.0,4412.0,4534.0
1320.0,6633.0,6707.0,7302.0,7332.0,7355.0
1420.0,4707.0,5289.0,5714.0,6324.0,8500.0
1130.0,2024.0,2187.0,2678.0,3104.0,3383.0
1116.0,5675.0,5918.0,7333.0,7986.0,8696.0
1310.0,9048.0,9381.0,10497.0,10762.0,10840.0
805.0,5519.0,6494.0,7933.0,9193.0,9725.0
1115.0,3421.0,4195.0,5163.0,6421.0,7026.0
205.0,4543.0,4642.0,5021.0,5130.0,5238.0
136.0,4806.0,4606.0,4997.0,5103.0,5188.0
1120.0,10170.0,11448.0,13441.0,15124.0,17255.0
705.0,4907.0,6117.0,7027.0,8340.0,12953.0
120.0,4412.0,4404.0,4808.0,5070.0,5373.0
325.0,7177.0,8433.0,9089.0,9919.0,10570.0
135.0,5839.0,6008.0,6788.0,7099.0,7161.0
706.0,4081.0,4430.0,4780.0,5355.0,6577.0
206.0,5174.0,5333.0,5927.0,6052.0,6186.0
2910.0,601.0,1234.0,1310.0,1532.0,2066.0
315.0,5223.0,5270.0,5951.0,6167.0,6437.0
2935.0,5458.0,3194.0,3186.0,3295.0,3470.0
605.0,6765.0,7166.0,8462.0,9854.0,11058.0
606.0,4862.0,6672.0,8209.0,10304.0,12712.0
506.0,4868.0,7389.0,8797.0,10415.0,13293.0
110.0,1945.0,1934.0,2145.0,2205.0,2461.0
505.0,9122.0,14455.0,16415.0,19796.0,23957.0
2936.0,970.0,1852.0,3635.0,3969.0,4336.0
405.0,5990.0,7062.0,8288.0,9696.0,11491.0
2926.0,7545.0,8193.0,8781.0,9458.0,11045.0
2925.0,4661.0,5704.0,6045.0,6769.0,9182.0
2927.0,1663.0,2022.0,2313.0,3003.0,5337.0
