FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
6010	85440	88737	92034	95332	98629	101926	105223	108520	111818	115115	118412	118348	118284	118220	118156	118092	118028	117964	117900	117836	117772	115385	112999	110612	108226	105839	103452	101066	98679	96293	93906
6020	27746	29451	31157	32862	34567	36273	37978	39683	41388	43094	44799	44724	44648	44573	44498	44423	44347	44272	44197	44121	44046	43340	42634	41928	41222	40516	39809	39103	38397	37691	36985
6113	31510	31685	31861	32036	32211	32387	32562	32737	32912	33088	33263	33535	33807	34079	34351	34624	34896	35168	35440	35712	35984	36502	37019	37537	38054	38572	39090	39607	40125	40642	41160
6114	11595	12044	12493	12942	13391	13840	14289	14738	15187	15636	16085	16372	16659	16946	17233	17520	17807	18094	18381	18668	18955	18460	17965	17469	16974	16479	15984	15489	14993	14498	14003
6115	4006	4274	4542	4811	5079	5347	5615	5883	6152	6420	6688	6908	7128	7348	7568	7789	8009	8229	8449	8669	8889	8706	8523	8340	8157	7974	7790	7607	7424	7241	7058
6123	43762	43702	43642	43582	43522	43462	43402	43342	43282	43222	43162	43433	43704	43975	44246	44518	44789	45060	45331	45602	45873	45275	44677	44079	43481	42884	42286	41688	41090	40492	39894
6124	7299	7390	7482	7573	7664	7756	7847	7938	8029	8121	8212	8435	8657	8880	9102	9325	9547	9770	9992	10215	10437	10571	10704	10838	10971	11105	11238	11372	11505	11639	11772
6125	5418	5637	5857	6076	6296	6515	6734	6954	7173	7393	7612	7824	8036	8248	8460	8672	8883	9095	9307	9519	9731	9549	9368	9186	9004	8823	8641	8459	8277	8096	7914
6126	1068	1105	1141	1178	1214	1251	1287	1324	1360	1397	1433	1543	1654	1764	1874	1985	2095	2205	2315	2426	2536	2548	2560	2572	2584	2596	2608	2620	2632	2644	2656
6213	8079	8329	8578	8828	9078	9328	9577	9827	10077	10326	10576	10732	10887	11043	11198	11354	11510	11665	11821	11976	12132	12269	12405	12542	12678	12815	12952	13088	13225	13361	13498
6214	18617	18772	18928	19083	19239	19394	19549	19705	19860	20016	20171	20429	20687	20945	21203	21461	21719	21977	22235	22493	22751	23094	23436	23779	24122	24465	24807	25150	25493	25835	26178
6215	12286	12320	12355	12389	12424	12458	12492	12527	12561	12596	12630	12789	12947	13106	13265	13424	13582	13741	13900	14058	14217	13890	13563	13236	12909	12582	12254	11927	11600	11273	10946
