faz_id	population_2000	population_2010	population_2020	population_2025	population_2030	population_2035	population_2040
4130.0	12557.0	16976.0	17634.0	18081.0	18521.0	18989.0	19197.0
6930.0	10267.0	10611.0	10485.0	10522.0	10649.0	10721.0	10712.0
3825.0	16736.0	17490.0	21510.0	22185.0	22481.0	23250.0	23804.0
4120.0	16699.0	19377.0	21616.0	22042.0	22360.0	22800.0	23280.0
3816.0	21840.0	21030.0	25090.0	25766.0	26324.0	26472.0	27422.0
4210.0	15818.0	23505.0	26212.0	28144.0	29643.0	30889.0	31777.0
9016.0	10454.0	11613.0	13204.0	14328.0	15996.0	17920.0	19156.0
4005.0	10993.0	11776.0	15717.0	16595.0	16931.0	17423.0	18745.0
4230.0	9469.0	9761.0	11448.0	12440.0	13254.0	13811.0	14039.0
3815.0	18472.0	18834.0	20744.0	20953.0	21243.0	21384.0	21376.0
3705.0	29413.0	29629.0	32981.0	33503.0	34382.0	35139.0	37259.0
3900.0	4876.0	4899.0	6289.0	6607.0	7355.0	7745.0	7896.0
4110.0	16709.0	18410.0	20282.0	21008.0	22362.0	24250.0	27786.0
3416.0	21113.0	23088.0	23905.0	24567.0	25313.0	26200.0	27987.0
3413.0	6514.0	8324.0	10043.0	11115.0	12188.0	12954.0	13171.0
3706.0	15343.0	15087.0	18163.0	18703.0	19031.0	19222.0	19451.0
3600.0	16432.0	20062.0	21307.0	22118.0	22767.0	23719.0	25963.0
3415.0	20227.0	23224.0	28428.0	30888.0	32474.0	33700.0	35500.0
3320.0	24158.0	27925.0	29585.0	31004.0	32288.0	33352.0	33887.0
3505.0	32688.0	36990.0	43570.0	45399.0	46619.0	47521.0	48492.0
3414.0	22931.0	25190.0	29040.0	29801.0	30273.0	30137.0	30905.0
6900.0	7195.0	7612.0	8436.0	9256.0	10393.0	11546.0	12290.0
2940.0	11987.0	14434.0	17222.0	20187.0	23691.0	26841.0	28877.0
2216.0	15732.0	18199.0	19752.0	20918.0	22133.0	23070.0	23882.0
3046.0	22021.0	22751.0	24623.0	25194.0	25502.0	25843.0	26270.0
2225.0	11442.0	13113.0	15489.0	17142.0	18822.0	21264.0	24422.0
3426.0	15279.0	18949.0	23212.0	25205.0	26330.0	27076.0	27784.0
3427.0	16914.0	22402.0	24274.0	25462.0	26366.0	27080.0	27833.0
3045.0	25506.0	26536.0	28883.0	29887.0	30871.0	31366.0	31857.0
3310.0	13327.0	19432.0	20696.0	21677.0	25540.0	30391.0	35639.0
3030.0	28441.0	34469.0	42300.0	47408.0	51727.0	54112.0	55231.0
3130.0	14594.0	15342.0	16379.0	16812.0	17325.0	17782.0	18573.0
3010.0	40619.0	40084.0	43707.0	45091.0	46498.0	47651.0	49021.0
3020.0	21490.0	22330.0	24156.0	24693.0	25214.0	25867.0	29981.0
3425.0	14187.0	17596.0	20622.0	22461.0	23917.0	24941.0	25187.0
2100.0	17974.0	18757.0	20747.0	21222.0	21702.0	22135.0	22855.0
1606.0	12269.0	11996.0	12877.0	13084.0	13330.0	13565.0	13798.0
2215.0	14968.0	16738.0	18129.0	18839.0	19559.0	19975.0	20400.0
1720.0	24246.0	23737.0	26415.0	26975.0	27735.0	29044.0	29684.0
3120.0	22867.0	23569.0	24706.0	25448.0	26718.0	28968.0	33615.0
1900.0	277.0	657.0	881.0	882.0	897.0	888.0	892.0
3110.0	7462.0	8716.0	9690.0	10015.0	10240.0	10270.0	10107.0
3200.0	19129.0	19044.0	21003.0	22377.0	23755.0	25221.0	26471.0
1605.0	16521.0	15809.0	17157.0	17422.0	17564.0	17679.0	17698.0
2000.0	6329.0	10593.0	12389.0	13538.0	14422.0	15203.0	15982.0
1820.0	5467.0	6139.0	7093.0	7308.0	7611.0	8148.0	8429.0
1200.0	14209.0	16059.0	18004.0	19257.0	20083.0	20386.0	20915.0
1710.0	19618.0	20729.0	21556.0	22220.0	23159.0	24992.0	27249.0
1810.0	2873.0	3459.0	3689.0	3825.0	4162.0	4952.0	6104.0
900.0	8600.0	9814.0	10826.0	11338.0	11720.0	12046.0	12315.0
806.0	16093.0	28630.0	31962.0	35856.0	39192.0	42210.0	44871.0
1506.0	21148.0	20912.0	22710.0	23216.0	23889.0	24397.0	24909.0
1410.0	10788.0	11261.0	11887.0	12083.0	12171.0	12712.0	13262.0
